問題ID,章,問題内容,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
11,第1章 AI（人工知能）,教師なし学習の代表的な手法として適切なものはどれか,クラスタリング,分類,回帰,強化学習,クラスタリング,クラスタリングは、正解データを使わずにデータのパターンや構造を発見する教師なし学習の代表的な手法です。
12,第1章 AI（人工知能）,強化学習の特徴として最も適切なものはどれか,大量の教師データが必要である,環境との相互作用を通じて最適な行動を学習する,データの分類に特化している,事前に正解が分かっている問題のみ解決できる,環境との相互作用を通じて最適な行動を学習する,強化学習は、環境との相互作用を通じて報酬を最大化する最適な行動を学習する手法です。
13,第1章 AI（人工知能）,ニューラルネットワークの基本構成要素として正しくないものはどれか,ニューロン（ノード）,重み（ウェイト）,活性化関数,クラスタ,クラスタ,クラスタはクラスタリング手法で使用される概念で、ニューラルネットワークの基本構成要素ではありません。
14,第1章 AI（人工知能）,ディープラーニングがニューラルネットワークと異なる点として最も適切なものはどれか,活性化関数を使用しない,多層構造を持つ,重みを使用しない,学習を行わない,多層構造を持つ,ディープラーニングは、多層（深層）のニューラルネットワークを使用することが特徴です。
15,第1章 AI（人工知能）,過学習（オーバーフィッティング）の説明として正しいものはどれか,訓練データに対して十分な精度が出ない現象,訓練データには適合するが新しいデータに対する予測精度が低下する現象,モデルが複雑すぎて計算できない現象,学習時間が長すぎて実用的でない現象,訓練データには適合するが新しいデータに対する予測精度が低下する現象,過学習は、モデルが訓練データに過度に適合し、未知のデータに対する汎化性能が低下する現象です。
16,第1章 AI（人工知能）,シンギュラリティ（技術的特異点）について最も適切な説明はどれか,AIが人間を超越し、知能的に自己進化する状態,コンピュータの処理速度が光速に達する状態,インターネットが世界中に普及した状態,ロボットが人間の仕事をすべて代替する状態,AIが人間を超越し、知能的に自己進化する状態,シンギュラリティは、AIが人間の知能を超越し、自己進化を繰り返す技術的特異点を指します。
17,第1章 AI（人工知能）,AI効果について最も適切な説明はどれか,AIの性能が急激に向上する現象,AI技術に対する過剰な期待から実際の使用時に失望する心理現象,AIが人間の能力を拡張する効果,AI技術の普及により社会が変化する現象,AI技術に対する過剰な期待から実際の使用時に失望する心理現象,AI効果は、AI技術に対する過剰な期待から、実際の使用や技術を知った際に失望してしまう心理現象です。
18,第1章 AI（人工知能）,半教師あり学習の特徴として最も適切なものはどれか,一部のデータにのみ正解ラベルが付いている,すべてのデータに正解ラベルが付いている,どのデータにも正解ラベルが付いていない,報酬によって学習を行う,一部のデータにのみ正解ラベルが付いている,半教師あり学習は、一部のデータにのみ正解ラベルが付いている状況で学習を行う手法です。
19,第1章 AI（人工知能）,機械学習におけるバイアスとバリアンスについて正しい説明はどれか,バイアスが高いと過学習が起こりやすい,バリアンスが高いと過学習が起こりやすい,バイアスとバリアンスは同じ概念である,バイアスとバリアンスは機械学習に関係ない,バリアンスが高いと過学習が起こりやすい,バリアンスが高いモデルは訓練データの小さな変化に敏感で、過学習を起こしやすくなります。
20,第1章 AI（人工知能）,AI研究の歴史で「AIの冬」と呼ばれる時期について正しい説明はどれか,AI研究が最も活発だった時期,AI技術が大きく発展した時期,AI研究への期待が高まった時期,AI研究への関心や投資が低下した時期,AI研究への関心や投資が低下した時期,「AIの冬」は、AIブームの終息後にAI研究への関心や投資が大幅に減少した時期を指します。
21,第2章 生成AI（ジェネレーティブAI）,LSTMの特徴として不適切な記述を1つ選びなさい,大規模データの学習には時間がかかる,長文の自然言語を処理すると精度が低下する,シーケンスデータを処理するネットワークである,並列学習に適している,並列学習に適している,LSTMは時系列データの処理に適していますが、並列学習には適していません。RNNベースのモデルは順次処理が基本となります。
22,第2章 生成AI（ジェネレーティブAI）,BERTモデルの特徴の1つにNSPが挙げられる。NSPの特徴として最も適切な文章を1つ選びなさい,各単語がテキスト全体にどの程度影響を与えるかをモデルが理解するメカニズムである,ある文が別の文の直後に来るかを予測するためのメカニズムである,単語の順序情報を保持するメカニズムである,現在の単語の次に来る単語を予測するためのメカニズムである,ある文が別の文の直後に来るかを予測するためのメカニズムである,NSP（Next Sentence Prediction）は、ある文が別の文の直後に来るかを予測するためのBERTの事前学習タスクです。
23,第2章 生成AI（ジェネレーティブAI）,RNNの仕組みについて正しく説明している文章を1つ選びなさい,次の時刻の隠れ層の出力を予想し、現時刻の隠れ層に入力を行う,同じ入力に対しては常に同じ出力を返す性質を持つ,過去の情報を記憶しながら新たな情報を処理することが可能である,時系列データを扱うことができない,過去の情報を記憶しながら新たな情報を処理することが可能である,RNNは、過去の情報を記憶しながら新たな情報を処理することが可能な特性を持ち、時系列データの処理に適しています。
24,第2章 生成AI（ジェネレーティブAI）,画像生成AIの主なデータ生成手法として不適切な選択肢を全て選びなさい,RNN,CNN,GAN,VAE,RNN,GAN、VAE、CNNは画像生成AIで使用される手法ですが、RNNは主に時系列データ処理に使用され、画像生成の主要手法ではありません。
25,第2章 生成AI（ジェネレーティブAI）,動画生成は（　）ため、各フレーム間の一貫性を保つことが重要である。（　）に当てはまる文章として、正しい選択肢を1つ選びなさい,色彩ごとに分割された画像の集合である,仮想空間に羅列されたピクセルの集合である,製作者の意図が反映されている,時間的に連続するフレームの集合である,時間的に連続するフレームの集合である,動画は時間的に連続するフレームの集合であるため、各フレーム間の一貫性を保つことが重要です。
26,第2章 生成AI（ジェネレーティブAI）,動画生成AIを利用する際のメリットについて、最も不適切な記述をしている文章を1つ選びなさい,既存の映像や動画を元に新しい映像を生成することができる,特殊効果やリアルな視聴効果を生成することができる,既存の映像コンテンツの雰囲気にあった音楽を挿入することができる,映像内の特定の要素を自動的に非表示にすることができる,既存の映像コンテンツの雰囲気にあった音楽を挿入することができる,動画生成AIは主に映像の生成に特化しており、音楽の挿入は直接的なメリットではありません。
27,第2章 生成AI（ジェネレーティブAI）,ALBERTは、どのモデルを軽量にすることを目的として開発されたか。最も正しい選択肢を1つ選びなさい,BERTを軽量にするモデルである,GPT-3を軽量にするモデルである,RoBERTaを軽量にするモデルである,Transformerを軽量にするモデルである,BERTを軽量にするモデルである,ALBERT（A Lite BERT）は、BERTを軽量化することを目的として開発されたモデルです。
28,第2章 生成AI（ジェネレーティブAI）,コンピュータが自然言語の複雑さや曖昧さを扱いながら、テキストデータを理解・生成するために必要な技術の総称として最も適切な選択肢を1つ選びなさい,RNN,NLP,GAN,VAE,NLP,NLP（Natural Language Processing：自然言語処理）は、コンピュータが自然言語を理解・生成するために必要な技術の総称です。
29,第2章 生成AI（ジェネレーティブAI）,「Masked Language Model」に関して、不適切な記述をしている文章を1つ選びなさい,ランダムに選んだ単語をマスクする,語順通りだけでなく、その逆からも読むことを実現している,ランダムにマスクされた単語の位置を予測する,マスクされた部分を予測するために前後の単語のすべての情報を利用する,ランダムにマスクされた単語の位置を予測する,Masked Language Modelは、マスクされた単語の「位置」ではなく「内容（単語そのもの）」を予測します。
30,第2章 生成AI（ジェネレーティブAI）,VAEにおけるエンコーダとデコーダについて、最も適切な説明をしている文章を1つ選びなさい,VAEのエンコーダは入力データを潜在ベクトルに変換し、デコーダはその潜在ベクトルから元のデータを生成する,VAEのエンコーダとデコーダは両方とも元のデータを再現する,VAEのエンコーダは元のデータを再現し、デコーダはノイズを除去する,VAEのデコーダは入力データを潜在ベクトルに変換し、エンコーダはその潜在ベクトルから元のデータを生成する,VAEのエンコーダは入力データを潜在ベクトルに変換し、デコーダはその潜在ベクトルから元のデータを生成する,VAEでは、エンコーダが入力データを潜在ベクトルに変換し、デコーダがその潜在ベクトルから元のデータを生成します。
31,第2章 生成AI（ジェネレーティブAI）,GANにおける生成器（Generator）と識別器（Discriminator）の関係として最も適切なものはどれか,生成器と識別器は協力してデータを生成する,生成器と識別器は互いに競い合いながら性能を向上させる,生成器が識別器を制御してデータを生成する,識別器が生成器を制御してデータを判別する,生成器と識別器は互いに競い合いながら性能を向上させる,GANでは、生成器と識別器が敵対的に競い合うことで、より高品質な生成データを作り出します。
32,第2章 生成AI（ジェネレーティブAI）,Transformerモデルの革新的な機能として最も適切なものはどれか,自己注意機構（Self-Attention）,畳み込み演算,リカレント構造,勾配消失対策,自己注意機構（Self-Attention）,Transformerの革新的な機能は自己注意機構で、これにより並列処理と長距離依存関係の学習が可能になりました。
33,第2章 生成AI（ジェネレーティブAI）,GPT-3の特徴として最も適切でないものはどれか,1750億個のパラメータを持つ,RLHF（人間のフィードバックからの強化学習）を使用,微調整なしで多様なタスクを実行可能,大規模な事前学習を行っている,RLHF（人間のフィードバックからの強化学習）を使用,RLHFはGPT-3.5（InstructGPT）以降で導入された技術で、GPT-3には使用されていません。
34,第2章 生成AI（ジェネレーティブAI）,CNNが画像認識に適している理由として最も適切なものはどれか,時系列データの処理に優れているため,局所的な特徴を効率的に抽出できるため,自然言語処理に特化しているため,リカレント構造を持っているため,局所的な特徴を効率的に抽出できるため,CNNは畳み込み演算により画像の局所的な特徴を効率的に抽出できるため、画像認識に適しています。
35,第2章 生成AI（ジェネレーティブAI）,GPT-4の改善点として最も適切でないものはどれか,ハルシネーションの減少,マルチモーダル対応,日本語生成精度の向上,パラメータ数の大幅増加,パラメータ数の大幅増加,GPT-4では性能向上が図られましたが、パラメータ数の大幅増加は主要な改善点として公表されていません。
36,第2章 生成AI（ジェネレーティブAI）,ChatGPTの名称の由来として正しいものはどれか,Chat（対話）+ GPT（Generative Pre-trained Transformer）,Character（文字）+ GPT（General Purpose Technology）,Chatbot（チャットボット）+ GPT（Global Processing Technology）,Communication（コミュニケーション）+ GPT（General Programming Tool）,Chat（対話）+ GPT（Generative Pre-trained Transformer）,ChatGPTは「Chat（対話型）」と「GPT（Generative Pre-trained Transformer）」を組み合わせた名称です。
37,第2章 生成AI（ジェネレーティブAI）,ディープフェイクの説明として最も適切なものはどれか,AI技術を使用して実在しない人物の画像や動画を作成する技術,データベースから情報を検索する技術,音声認識の精度を向上させる技術,自然言語翻訳の品質を改善する技術,AI技術を使用して実在しない人物の画像や動画を作成する技術,ディープフェイクは、AI技術（特にGAN）を使用して、実際には存在しない人物の画像や動画を作成する技術です。
38,第2章 生成AI（ジェネレーティブAI）,GPT-4oの「o」が表す意味として正しいものはどれか,Omni（全ての）,Original（オリジナル）,Optimal（最適）,Online（オンライン）,Omni（全ての）,GPT-4oの「o」は「omni（全ての）」を意味し、テキスト、画像、音声を統合的に処理できるオムニモーダルモデルを表します。
39,第2章 生成AI（ジェネレーティブAI）,生成AIの学習において、事前学習（Pre-training）の目的として最も適切なものはどれか,特定のタスクに特化した性能を向上させる,大量のデータから一般的な言語パターンを学習する,人間のフィードバックを反映させる,計算コストを削減する,大量のデータから一般的な言語パターンを学習する,事前学習では、大量のテキストデータから一般的な言語パターンや知識を学習し、後の微調整の基盤を作ります。
40,第2章 生成AI（ジェネレーティブAI）,Code Interpreterの機能として最も適切な説明はどれか,プログラムコードを自然言語に翻訳する機能,ChatGPTがPythonコードを作成し実行できる機能,コードの品質を評価する機能,プログラミング言語間の変換を行う機能,ChatGPTがPythonコードを作成し実行できる機能,Code InterpreterはChatGPTがPythonソースコードを作成し、自ら実行できる強力な拡張機能です。
