章,セクション,項目,内容詳細,学習時間,ページ
第2章 生成AI（ジェネレーティブAI）,現在の生成AIの動向,動画生成AI,テキストや画像から動画を生成,15分,p.68
第2章 生成AI（ジェネレーティブAI）,ディープフェイク,ディープフェイクとは,AI技術を使用した偽の画像・動画作成,20分,p.72
第2章 生成AI（ジェネレーティブAI）,ディープフェイク,ディープフェイクによる事犯,詐欺やなりすましなどの犯罪,10分,p.74
第3章 情報リテラシー,情報リテラシーの基本理念,情報リテラシーとは,情報を適切に収集、評価、活用する能力,15分,p.77
第3章 情報リテラシー,セキュリティとプライバシー,迷惑メール・詐欺メール,AI技術を悪用した巧妙な詐欺メール,20分,p.78
第3章 情報リテラシー,セキュリティとプライバシー,悪意のあるQRコード,QRコードを介した攻撃手法,15分,p.79
第3章 情報リテラシー,セキュリティとプライバシー,WiFiに潜む危険,公共WiFiの利用におけるリスク,15分,p.80
第3章 情報リテラシー,セキュリティとプライバシー,ソーシャルエンジニアリング攻撃,人間の心理を利用した攻撃手法,20分,p.83
第3章 情報リテラシー,個人情報保護,個人情報保護法,個人情報保護法の基本理念と適用範囲,30分,p.87
第3章 情報リテラシー,個人情報保護,要配慮個人情報,特に慎重に取り扱うべき個人情報,20分,p.88
第3章 情報リテラシー,個人情報保護,匿名加工情報,個人情報を匿名化する手法,20分,p.89
第3章 情報リテラシー,制作物に関わる権利・法律,知的財産権,著作権、特許権、商標権などの知的財産権,45分,p.91-116
第3章 情報リテラシー,AIを取り巻く理念と原則,AI原則,AI技術の開発・利用における基本的な原則,30分,p.124
第3章 情報リテラシー,AIを取り巻く理念と原則,AI倫理原則,AI技術の倫理的利用について,30分,p.127
第4章 プロンプト制作と実例,LMとLLM,言語モデル,テキストの統計的パターンを学習,20分,p.139
第4章 プロンプト制作と実例,LMとLLM,大規模言語モデル,大量のテキストデータを学習した大規模な言語モデル,20分,p.140
第4章 プロンプト制作と実例,LMとLLM,プロンプトエンジニアリング,AIから望ましい出力を得るための指示設計技術,30分,p.142
第4章 プロンプト制作と実例,プロンプティングの基礎,Zero-Shotプロンプティング,事前の例示なしで直接タスクを指示する手法,20分,p.144
第4章 プロンプト制作と実例,プロンプティングの基礎,Few-Shotプロンプティング,プロンプト内に具体例を含める手法,20分,p.145
第4章 プロンプト制作と実例,LLMプロンプティングの実践,テキストの生成,AIに新しいテキストを生成させる方法,30分,p.146
第4章 プロンプト制作と実例,LLMプロンプティングの実践,文章の要約,長い文章を短く要約する方法,20分,p.149
第4章 プロンプト制作と実例,LLMプロンプティングの実践,文章の整理,既存の文章を整理し構造化する方法,20分,p.148
第4章 プロンプト制作と実例,ビジネス応用,メールの作成,ビジネスメールの作成支援,15分,p.155
第4章 プロンプト制作と実例,ビジネス応用,アンケート項目の作成,アンケートの質問項目を作成する方法,15分,p.157
第4章 プロンプト制作と実例,ビジネス応用,キャッチコピーの作成,効果的なキャッチコピーを作成する方法,15分,p.159
第4章 プロンプト制作と実例,ビジネス応用,外国語の翻訳,多言語翻訳の活用方法,15分,p.164
第4章 プロンプト制作と実例,ビジネス応用,ブレインストーミング,アイデア発想の支援,15分,p.168
第4章 プロンプト制作と実例,テキスト生成AIの不得意なこと,正確な文字数の指定,AIは正確な文字数を指定された文章の生成が苦手,10分,p.170
第4章 プロンプト制作と実例,テキスト生成AIの不得意なこと,計算,AIは複雑な計算や数値処理が苦手,10分,p.170
第4章 プロンプト制作と実例,テキスト生成AIの不得意なこと,最新の情報,AIは学習データの時点以降の最新情報を持っていない,10分,p.171
第5章 実践と応用,プロンプトエンジニアリングの実践,実践的なプロンプト設計,実際のビジネスシーンで使用できるプロンプトの設計方法,45分,-
第5章 実践と応用,ビジネス活用事例,業界別AI活用事例,医療、金融、製造、小売、教育での活用事例,60分,-
第5章 実践と応用,倫理的配慮,AI倫理の重要性,AI技術の開発・利用における倫理的配慮の重要性,30分,-
第5章 実践と応用,倫理的配慮,バイアスの問題,AIシステムが持つ可能性のあるバイアスと対策,30分,-
第5章 実践と応用,今後の展望,AI技術の進歩方向,マルチモーダルAI、AIエージェント、量子AI、エッジAI,30分,-
第5章 実践と応用,今後の展望,規制とガバナンス,AI技術の急速な発展に伴う規制の動向,20分,-
第5章 実践と応用,総合演習,実践的な課題解決,これまで学んだ知識を総合的に活用,60分,-
